id,Timestamp,ComponentID,ComponentState,SystemType,TestMode,ParticipantID,ParticipantSex,ParticipantAge
0,54.11862,HV700,Open,PackedGreen,VR,4,Female,27
1,54.11862,HV700,Open,PackedGreen,VR,4,Female,27
2,54.11862,HV701,Close,PackedGreen,VR,4,Female,27
3,54.11862,HV701,Close,PackedGreen,VR,4,Female,27
4,55.68714,HV700,Open,PackedGreen,VR,4,Female,27
5,55.68714,HV700,Open,PackedGreen,VR,4,Female,27
6,55.68714,HV701,Open,PackedGreen,VR,4,Female,27
7,55.68714,HV701,Open,PackedGreen,VR,4,Female,27
8,55.68714,FIC703,Close,PackedGreen,VR,4,Female,27
9,55.68714,FIC703,Close,PackedGreen,VR,4,Female,27
10,58.40956,HV700,Open,PackedGreen,VR,4,Female,27
11,58.40956,HV700,Open,PackedGreen,VR,4,Female,27
12,58.40956,HV701,Open,PackedGreen,VR,4,Female,27
13,58.40956,HV701,Open,PackedGreen,VR,4,Female,27
14,58.40956,FIC703,Open,PackedGreen,VR,4,Female,27
15,58.40956,FIC703,Open,PackedGreen,VR,4,Female,27
16,58.40956,HV806,0,PackedGreen,VR,4,Female,27
17,58.40956,HV806,0,PackedGreen,VR,4,Female,27
18,95.54474,HV700,Open,PackedGreen,VR,4,Female,27
19,95.54474,HV700,Open,PackedGreen,VR,4,Female,27
20,95.54474,HV701,Open,PackedGreen,VR,4,Female,27
21,95.54474,HV701,Open,PackedGreen,VR,4,Female,27
22,95.54474,FIC703,Open,PackedGreen,VR,4,Female,27
23,95.54474,FIC703,Open,PackedGreen,VR,4,Female,27
24,95.54474,HV806,1,PackedGreen,VR,4,Female,27
25,95.54474,HV806,1,PackedGreen,VR,4,Female,27
26,95.54474,PRV807,0,PackedGreen,VR,4,Female,27
27,95.54474,PRV807,0,PackedGreen,VR,4,Female,27
28,97.89195,HV700,Open,PackedGreen,VR,4,Female,27
29,97.89195,HV700,Open,PackedGreen,VR,4,Female,27
30,97.89195,HV701,Open,PackedGreen,VR,4,Female,27
31,97.89195,HV701,Open,PackedGreen,VR,4,Female,27
32,97.89195,FIC703,Open,PackedGreen,VR,4,Female,27
33,97.89195,FIC703,Open,PackedGreen,VR,4,Female,27
34,97.89195,HV806,1,PackedGreen,VR,4,Female,27
35,97.89195,HV806,1,PackedGreen,VR,4,Female,27
36,97.89195,PRV807,1,PackedGreen,VR,4,Female,27
37,97.89195,PRV807,1,PackedGreen,VR,4,Female,27
38,97.89195,HV704,Close,PackedGreen,VR,4,Female,27
39,97.89195,HV704,Close,PackedGreen,VR,4,Female,27
40,105.2812,HV700,Open,PackedGreen,VR,4,Female,27
41,105.2812,HV700,Open,PackedGreen,VR,4,Female,27
42,105.2812,HV701,Open,PackedGreen,VR,4,Female,27
43,105.2812,HV701,Open,PackedGreen,VR,4,Female,27
44,105.2812,FIC703,Open,PackedGreen,VR,4,Female,27
45,105.2812,FIC703,Open,PackedGreen,VR,4,Female,27
46,105.2812,HV806,1,PackedGreen,VR,4,Female,27
47,105.2812,HV806,1,PackedGreen,VR,4,Female,27
48,105.2812,PRV807,1,PackedGreen,VR,4,Female,27
49,105.2812,PRV807,1,PackedGreen,VR,4,Female,27
50,105.2812,HV704,Close,PackedGreen,VR,4,Female,27
51,105.2812,HV704,Close,PackedGreen,VR,4,Female,27
52,106.4195,HV700,Open,PackedGreen,VR,4,Female,27
53,106.4195,HV700,Open,PackedGreen,VR,4,Female,27
54,106.4195,HV701,Open,PackedGreen,VR,4,Female,27
55,106.4195,HV701,Open,PackedGreen,VR,4,Female,27
56,106.4195,FIC703,Open,PackedGreen,VR,4,Female,27
57,106.4195,FIC703,Open,PackedGreen,VR,4,Female,27
58,106.4195,HV806,1,PackedGreen,VR,4,Female,27
59,106.4195,HV806,1,PackedGreen,VR,4,Female,27
60,106.4195,PRV807,1,PackedGreen,VR,4,Female,27
61,106.4195,PRV807,1,PackedGreen,VR,4,Female,27
62,106.4195,HV704,Close,PackedGreen,VR,4,Female,27
63,106.4195,HV704,Close,PackedGreen,VR,4,Female,27
64,111.0036,HV700,Open,PackedGreen,VR,4,Female,27
65,111.0036,HV700,Open,PackedGreen,VR,4,Female,27
66,111.0036,HV701,Open,PackedGreen,VR,4,Female,27
67,111.0036,HV701,Open,PackedGreen,VR,4,Female,27
68,111.0036,FIC703,Open,PackedGreen,VR,4,Female,27
69,111.0036,FIC703,Open,PackedGreen,VR,4,Female,27
70,111.0036,HV806,1,PackedGreen,VR,4,Female,27
71,111.0036,HV806,1,PackedGreen,VR,4,Female,27
72,111.0036,PRV807,1,PackedGreen,VR,4,Female,27
73,111.0036,PRV807,1,PackedGreen,VR,4,Female,27
74,111.0036,HV704,Close,PackedGreen,VR,4,Female,27
75,111.0036,HV704,Close,PackedGreen,VR,4,Female,27
76,113.6011,HV700,Open,PackedGreen,VR,4,Female,27
77,113.6011,HV700,Open,PackedGreen,VR,4,Female,27
78,113.6011,HV701,Open,PackedGreen,VR,4,Female,27
79,113.6011,HV701,Open,PackedGreen,VR,4,Female,27
80,113.6011,FIC703,Open,PackedGreen,VR,4,Female,27
81,113.6011,FIC703,Open,PackedGreen,VR,4,Female,27
82,113.6011,HV806,1,PackedGreen,VR,4,Female,27
83,113.6011,HV806,1,PackedGreen,VR,4,Female,27
84,113.6011,PRV807,1,PackedGreen,VR,4,Female,27
85,113.6011,PRV807,1,PackedGreen,VR,4,Female,27
86,113.6011,HV704,Open,PackedGreen,VR,4,Female,27
87,113.6011,HV705,Close,PackedGreen,VR,4,Female,27
88,113.6011,HV704,Open,PackedGreen,VR,4,Female,27
89,113.6011,HV705,Close,PackedGreen,VR,4,Female,27
90,120.182,HV700,Open,PackedGreen,VR,4,Female,27
91,120.182,HV700,Open,PackedGreen,VR,4,Female,27
92,120.182,HV701,Open,PackedGreen,VR,4,Female,27
93,120.182,HV701,Open,PackedGreen,VR,4,Female,27
94,120.182,FIC703,Open,PackedGreen,VR,4,Female,27
95,120.182,FIC703,Open,PackedGreen,VR,4,Female,27
96,120.182,HV806,1,PackedGreen,VR,4,Female,27
97,120.182,HV806,1,PackedGreen,VR,4,Female,27
98,120.182,PRV807,1,PackedGreen,VR,4,Female,27
99,120.182,PRV807,1,PackedGreen,VR,4,Female,27
100,120.182,HV704,Close,PackedGreen,VR,4,Female,27
101,120.182,HV704,Close,PackedGreen,VR,4,Female,27
102,123.1262,HV700,Open,PackedGreen,VR,4,Female,27
103,123.1262,HV700,Open,PackedGreen,VR,4,Female,27
104,123.1262,HV701,Open,PackedGreen,VR,4,Female,27
105,123.1262,HV701,Open,PackedGreen,VR,4,Female,27
106,123.1262,FIC703,Open,PackedGreen,VR,4,Female,27
107,123.1262,FIC703,Open,PackedGreen,VR,4,Female,27
108,123.1262,HV806,1,PackedGreen,VR,4,Female,27
109,123.1262,HV806,1,PackedGreen,VR,4,Female,27
110,123.1262,PRV807,1,PackedGreen,VR,4,Female,27
111,123.1262,PRV807,1,PackedGreen,VR,4,Female,27
112,123.1262,HV704,Close,PackedGreen,VR,4,Female,27
113,123.1262,HV704,Close,PackedGreen,VR,4,Female,27
114,128.0573,HV700,Open,PackedGreen,VR,4,Female,27
115,128.0573,HV700,Open,PackedGreen,VR,4,Female,27
116,128.0573,HV701,Open,PackedGreen,VR,4,Female,27
117,128.0573,HV701,Open,PackedGreen,VR,4,Female,27
118,128.0573,FIC703,Open,PackedGreen,VR,4,Female,27
119,128.0573,FIC703,Open,PackedGreen,VR,4,Female,27
120,128.0573,HV806,1,PackedGreen,VR,4,Female,27
121,128.0573,HV806,1,PackedGreen,VR,4,Female,27
122,128.0573,PRV807,1,PackedGreen,VR,4,Female,27
123,128.0573,PRV807,1,PackedGreen,VR,4,Female,27
124,128.0573,HV704,Open,PackedGreen,VR,4,Female,27
125,128.0573,HV705,Open,PackedGreen,VR,4,Female,27
126,128.0573,HV704,Open,PackedGreen,VR,4,Female,27
127,128.0573,HV705,Open,PackedGreen,VR,4,Female,27
128,128.0573,HV203,Close,PackedGreen,VR,4,Female,27
129,128.0573,HV203,Close,PackedGreen,VR,4,Female,27
130,132.9318,HV203,Open,PackedGreen,VR,4,Female,27
131,132.9318,HV203,Open,PackedGreen,VR,4,Female,27
132,132.9318,FIC204,Close,PackedGreen,VR,4,Female,27
133,132.9318,FIC204,Close,PackedGreen,VR,4,Female,27
134,138.209,HV203,Open,PackedGreen,VR,4,Female,27
135,138.209,HV203,Open,PackedGreen,VR,4,Female,27
136,138.209,FIC204,Open,PackedGreen,VR,4,Female,27
137,138.209,FIC204,Open,PackedGreen,VR,4,Female,27
138,138.209,HV403,Open,PackedGreen,VR,4,Female,27
139,138.209,HV403,Open,PackedGreen,VR,4,Female,27
140,146.4991,HV203,Open,PackedGreen,VR,4,Female,27
141,146.4991,HV203,Open,PackedGreen,VR,4,Female,27
142,146.4991,FIC204,Open,PackedGreen,VR,4,Female,27
143,146.4991,FIC204,Open,PackedGreen,VR,4,Female,27
144,146.4991,HV403,Close,PackedGreen,VR,4,Female,27
145,146.4991,HV403,Close,PackedGreen,VR,4,Female,27
146,146.4991,HV402,Close,PackedGreen,VR,4,Female,27
147,146.4991,HV402,Close,PackedGreen,VR,4,Female,27
148,152.0553,HV203,Open,PackedGreen,VR,4,Female,27
149,152.0553,HV203,Open,PackedGreen,VR,4,Female,27
150,152.0553,FIC204,Open,PackedGreen,VR,4,Female,27
151,152.0553,FIC204,Open,PackedGreen,VR,4,Female,27
152,152.0553,HV403,Open,PackedGreen,VR,4,Female,27
153,152.0553,HV403,Open,PackedGreen,VR,4,Female,27
154,156.8464,HV203,Open,PackedGreen,VR,4,Female,27
155,156.8464,HV203,Open,PackedGreen,VR,4,Female,27
156,156.8464,FIC204,Open,PackedGreen,VR,4,Female,27
157,156.8464,FIC204,Open,PackedGreen,VR,4,Female,27
158,156.8464,HV403,Close,PackedGreen,VR,4,Female,27
159,156.8464,HV403,Close,PackedGreen,VR,4,Female,27
160,156.8464,HV402,Close,PackedGreen,VR,4,Female,27
161,156.8464,HV402,Close,PackedGreen,VR,4,Female,27
162,174.6369,HV203,Open,PackedGreen,VR,4,Female,27
163,174.6369,HV203,Open,PackedGreen,VR,4,Female,27
164,174.6369,FIC204,Open,PackedGreen,VR,4,Female,27
165,174.6369,FIC204,Open,PackedGreen,VR,4,Female,27
166,174.6369,HV403,Close,PackedGreen,VR,4,Female,27
167,174.6369,HV403,Close,PackedGreen,VR,4,Female,27
168,174.6369,HV402,Open,PackedGreen,VR,4,Female,27
169,174.6369,HV402,Open,PackedGreen,VR,4,Female,27
170,174.6369,HV404,Close,PackedGreen,VR,4,Female,27
171,174.6369,HV404,Close,PackedGreen,VR,4,Female,27
172,186.787,HV203,Open,PackedGreen,VR,4,Female,27
173,186.787,HV203,Open,PackedGreen,VR,4,Female,27
174,186.787,FIC204,Open,PackedGreen,VR,4,Female,27
175,186.787,FIC204,Open,PackedGreen,VR,4,Female,27
176,186.787,HV403,Close,PackedGreen,VR,4,Female,27
177,186.787,HV403,Close,PackedGreen,VR,4,Female,27
178,186.787,HV402,Open,PackedGreen,VR,4,Female,27
179,186.787,HV402,Open,PackedGreen,VR,4,Female,27
180,186.787,HV404,Open,PackedGreen,VR,4,Female,27
181,186.787,HV404,Open,PackedGreen,VR,4,Female,27
182,186.787,FIC401,Open,PackedGreen,VR,4,Female,27
183,186.787,FIC401,Open,PackedGreen,VR,4,Female,27
184,186.787,HV802,Close,PackedGreen,VR,4,Female,27
185,186.787,HV802,Close,PackedGreen,VR,4,Female,27
186,229.3557,HV203,Open,PackedGreen,VR,4,Female,27
187,229.3557,HV203,Open,PackedGreen,VR,4,Female,27
188,229.3557,FIC204,Open,PackedGreen,VR,4,Female,27
189,229.3557,FIC204,Open,PackedGreen,VR,4,Female,27
190,229.3557,HV403,Close,PackedGreen,VR,4,Female,27
191,229.3557,HV403,Close,PackedGreen,VR,4,Female,27
192,229.3557,HV402,Open,PackedGreen,VR,4,Female,27
193,229.3557,HV402,Open,PackedGreen,VR,4,Female,27
194,229.3557,HV404,Open,PackedGreen,VR,4,Female,27
195,229.3557,HV404,Open,PackedGreen,VR,4,Female,27
196,229.3557,FIC401,Open,PackedGreen,VR,4,Female,27
197,229.3557,FIC401,Open,PackedGreen,VR,4,Female,27
198,229.3557,HV802,Close,PackedGreen,VR,4,Female,27
199,229.3557,HV802,Close,PackedGreen,VR,4,Female,27
200,230.3971,HV203,Open,PackedGreen,VR,4,Female,27
201,230.3971,HV203,Open,PackedGreen,VR,4,Female,27
202,230.3971,FIC204,Open,PackedGreen,VR,4,Female,27
203,230.3971,FIC204,Open,PackedGreen,VR,4,Female,27
204,230.3971,HV403,Close,PackedGreen,VR,4,Female,27
205,230.3971,HV403,Close,PackedGreen,VR,4,Female,27
206,230.3971,HV402,Open,PackedGreen,VR,4,Female,27
207,230.3971,HV402,Open,PackedGreen,VR,4,Female,27
208,230.3971,HV404,Open,PackedGreen,VR,4,Female,27
209,230.3971,HV404,Open,PackedGreen,VR,4,Female,27
210,230.3971,FIC401,Open,PackedGreen,VR,4,Female,27
211,230.3971,FIC401,Open,PackedGreen,VR,4,Female,27
212,230.3971,HV802,Open,PackedGreen,VR,4,Female,27
213,230.3971,HV802,Open,PackedGreen,VR,4,Female,27
214,230.3971,PRV803,1,PackedGreen,VR,4,Female,27
215,230.3971,PRV803,1,PackedGreen,VR,4,Female,27
216,230.3971,FIC401,Open,PackedGreen,VR,4,Female,27
217,230.3971,FIC401,Open,PackedGreen,VR,4,Female,27
218,246.8714,FIC401,Close,PackedGreen,VR,4,Female,27
219,246.8714,FIC401,Close,PackedGreen,VR,4,Female,27
220,246.8714,FIC204,Open,PackedGreen,VR,4,Female,27
221,246.8714,FIC204,Open,PackedGreen,VR,4,Female,27
222,260.3152,FIC401,Close,PackedGreen,VR,4,Female,27
223,260.3152,FIC401,Close,PackedGreen,VR,4,Female,27
224,260.3152,FIC204,Close,PackedGreen,VR,4,Female,27
225,260.3152,FIC204,Close,PackedGreen,VR,4,Female,27
226,260.3152,HV203,Open,PackedGreen,VR,4,Female,27
227,260.3152,HV203,Open,PackedGreen,VR,4,Female,27
228,264.2037,FIC401,Close,PackedGreen,VR,4,Female,27
229,264.2037,FIC401,Close,PackedGreen,VR,4,Female,27
230,264.2037,FIC204,Close,PackedGreen,VR,4,Female,27
231,264.2037,FIC204,Close,PackedGreen,VR,4,Female,27
232,264.2037,HV203,Close,PackedGreen,VR,4,Female,27
233,264.2037,HV203,Close,PackedGreen,VR,4,Female,27
234,264.2037,HV303,Close,PackedGreen,VR,4,Female,27
235,264.2037,HV303,Close,PackedGreen,VR,4,Female,27
236,275.0496,FIC401,Close,PackedGreen,VR,4,Female,27
237,275.0496,FIC401,Close,PackedGreen,VR,4,Female,27
238,275.0496,FIC204,Close,PackedGreen,VR,4,Female,27
239,275.0496,FIC204,Close,PackedGreen,VR,4,Female,27
240,275.0496,HV203,Close,PackedGreen,VR,4,Female,27
241,275.0496,HV203,Close,PackedGreen,VR,4,Female,27
242,275.0496,HV303,Open,PackedGreen,VR,4,Female,27
243,275.0496,HV303,Open,PackedGreen,VR,4,Female,27
244,275.0496,HV402,Open,PackedGreen,VR,4,Female,27
245,275.0496,HV402,Open,PackedGreen,VR,4,Female,27
246,275.2984,FIC401,Close,PackedGreen,VR,4,Female,27
247,275.2984,FIC401,Close,PackedGreen,VR,4,Female,27
248,275.2984,FIC204,Close,PackedGreen,VR,4,Female,27
249,275.2984,FIC204,Close,PackedGreen,VR,4,Female,27
250,275.2984,HV203,Close,PackedGreen,VR,4,Female,27
251,275.2984,HV203,Close,PackedGreen,VR,4,Female,27
252,275.2984,HV303,Close,PackedGreen,VR,4,Female,27
253,275.2984,HV303,Close,PackedGreen,VR,4,Female,27
254,278.0909,FIC401,Close,PackedGreen,VR,4,Female,27
255,278.0909,FIC401,Close,PackedGreen,VR,4,Female,27
256,278.0909,FIC204,Close,PackedGreen,VR,4,Female,27
257,278.0909,FIC204,Close,PackedGreen,VR,4,Female,27
258,278.0909,HV203,Close,PackedGreen,VR,4,Female,27
259,278.0909,HV203,Close,PackedGreen,VR,4,Female,27
260,278.0909,HV303,Open,PackedGreen,VR,4,Female,27
261,278.0909,HV303,Open,PackedGreen,VR,4,Female,27
262,278.0909,HV402,Open,PackedGreen,VR,4,Female,27
263,278.0909,HV402,Open,PackedGreen,VR,4,Female,27
264,285.4949,FIC401,Close,PackedGreen,VR,4,Female,27
265,285.4949,FIC401,Close,PackedGreen,VR,4,Female,27
266,285.4949,FIC204,Close,PackedGreen,VR,4,Female,27
267,285.4949,FIC204,Close,PackedGreen,VR,4,Female,27
268,285.4949,HV203,Close,PackedGreen,VR,4,Female,27
269,285.4949,HV203,Close,PackedGreen,VR,4,Female,27
270,285.4949,HV303,Open,PackedGreen,VR,4,Female,27
271,285.4949,HV303,Open,PackedGreen,VR,4,Female,27
272,285.4949,HV402,Open,PackedGreen,VR,4,Female,27
273,285.4949,HV402,Open,PackedGreen,VR,4,Female,27
274,287.4944,FIC401,Close,PackedGreen,VR,4,Female,27
275,287.4944,FIC401,Close,PackedGreen,VR,4,Female,27
276,287.4944,FIC204,Close,PackedGreen,VR,4,Female,27
277,287.4944,FIC204,Close,PackedGreen,VR,4,Female,27
278,287.4944,HV203,Close,PackedGreen,VR,4,Female,27
279,287.4944,HV203,Close,PackedGreen,VR,4,Female,27
280,287.4944,HV303,Open,PackedGreen,VR,4,Female,27
281,287.4944,HV303,Open,PackedGreen,VR,4,Female,27
282,287.4944,HV402,Close,PackedGreen,VR,4,Female,27
283,287.4944,HV403,Open,PackedGreen,VR,4,Female,27
284,287.4944,HV402,Close,PackedGreen,VR,4,Female,27
285,287.4944,HV403,Open,PackedGreen,VR,4,Female,27
286,287.4944,FIC703,Open,PackedGreen,VR,4,Female,27
287,287.4944,FIC703,Open,PackedGreen,VR,4,Female,27
288,318.4212,FIC401,Close,PackedGreen,VR,4,Female,27
289,318.4212,FIC401,Close,PackedGreen,VR,4,Female,27
290,318.4212,FIC204,Close,PackedGreen,VR,4,Female,27
291,318.4212,FIC204,Close,PackedGreen,VR,4,Female,27
292,318.4212,HV203,Close,PackedGreen,VR,4,Female,27
293,318.4212,HV203,Close,PackedGreen,VR,4,Female,27
294,318.4212,HV303,Open,PackedGreen,VR,4,Female,27
295,318.4212,HV303,Open,PackedGreen,VR,4,Female,27
296,318.4212,HV402,Close,PackedGreen,VR,4,Female,27
297,318.4212,HV403,Open,PackedGreen,VR,4,Female,27
298,318.4212,HV402,Close,PackedGreen,VR,4,Female,27
299,318.4212,HV403,Open,PackedGreen,VR,4,Female,27
300,318.4212,FIC703,Close,PackedGreen,VR,4,Female,27
301,318.4212,HV701,Open,PackedGreen,VR,4,Female,27
302,318.4212,FIC703,Close,PackedGreen,VR,4,Female,27
303,318.4212,HV701,Open,PackedGreen,VR,4,Female,27
304,321.8101,FIC401,Close,PackedGreen,VR,4,Female,27
305,321.8101,FIC401,Close,PackedGreen,VR,4,Female,27
306,321.8101,FIC204,Close,PackedGreen,VR,4,Female,27
307,321.8101,FIC204,Close,PackedGreen,VR,4,Female,27
308,321.8101,HV203,Close,PackedGreen,VR,4,Female,27
309,321.8101,HV203,Close,PackedGreen,VR,4,Female,27
310,321.8101,HV303,Open,PackedGreen,VR,4,Female,27
311,321.8101,HV303,Open,PackedGreen,VR,4,Female,27
312,321.8101,HV402,Close,PackedGreen,VR,4,Female,27
313,321.8101,HV403,Open,PackedGreen,VR,4,Female,27
314,321.8101,HV402,Close,PackedGreen,VR,4,Female,27
315,321.8101,HV403,Open,PackedGreen,VR,4,Female,27
316,321.8101,FIC703,Close,PackedGreen,VR,4,Female,27
317,321.8101,HV701,Close,PackedGreen,VR,4,Female,27
318,321.8101,FIC703,Close,PackedGreen,VR,4,Female,27
319,321.8101,HV701,Close,PackedGreen,VR,4,Female,27
